movie_title,genres,actor_1_name,actor_2_name,title_year,country,movie_imdb_link
The Lone Ranger,Action|Adventure|Western,Johnny Depp,Ruth Wilson,2013,USA,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1
Man of Steel,Action|Adventure|Fantasy|Sci-Fi,Henry Cavill,Christopher Meloni,2013,USA,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1
The Chronicles of Narnia: Prince Caspian,Action|Adventure|Family|Fantasy,Peter Dinklage,Pierfrancesco Favino,2008,USA,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1
The Avengers,Action|Adventure|Sci-Fi,Chris Hemsworth,Robert Downey Jr.,2012,USA,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1
Pirates of the Caribbean: On Stranger Tides,Action|Adventure|Fantasy,Johnny Depp,Sam Claflin,2011,USA,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1
Men in Black 3,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,Michael Stuhlbarg,2012,USA,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1
The Hobbit: The Battle of the Five Armies,Adventure|Fantasy,Aidan Turner,Adam Brown,2014,New Zealand,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1
The Amazing Spider-Man,Action|Adventure|Fantasy,Emma Stone,Andrew Garfield,2012,USA,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1
Robin Hood,Action|Adventure|Drama|History,Mark Addy,William Hurt,2010,USA,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1
The Hobbit: The Desolation of Smaug,Adventure|Fantasy,Aidan Turner,Adam Brown,2013,USA,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1
The Golden Compass,Adventure|Family|Fantasy,Christopher Lee,Eva Green,2007,USA,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1
King Kong,Action|Adventure|Drama|Romance,Naomi Watts,Thomas Kretschmann,2005,New Zealand,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1
Titanic,Drama|Romance,Leonardo DiCaprio,Kate Winslet,1997,USA,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1
Captain America: Civil War,Action|Adventure|Sci-Fi,Robert Downey Jr.,Scarlett Johansson,2016,USA,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1
Battleship,Action|Adventure|Sci-Fi|Thriller,Liam Neeson,Alexander SkarsgA¥rd,2012,USA,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1
Jurassic World,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,Judy Greer,2015,USA,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1
Skyfall,Action|Adventure|Thriller,Albert Finney,Helen McCrory,2012,UK,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1
Spider-Man 2,Action|Adventure|Fantasy|Romance,J.K. Simmons,James Franco,2004,USA,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1
Iron Man 3,Action|Adventure|Sci-Fi,Robert Downey Jr.,Jon Favreau,2013,USA,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1
Alice in Wonderland,Adventure|Family|Fantasy,Johnny Depp,Alan Rickman,2010,USA,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1
X-Men: The Last Stand,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,Kelsey Grammer,2006,Canada,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1
Monsters University,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,Tyler Labine,2013,USA,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1
Transformers: Revenge of the Fallen,Action|Adventure|Sci-Fi,Glenn Morshower,Kevin Dunn,2009,USA,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1
Transformers: Age of Extinction,Action|Adventure|Sci-Fi,Bingbing Li,Sophia Myles,2014,USA,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1
Oz the Great and Powerful,Adventure|Family|Fantasy,Tim Holmes,Mila Kunis,2013,USA,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1
The Amazing Spider-Man 2,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,Andrew Garfield,2014,USA,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1
TRON: Legacy,Action|Adventure|Sci-Fi,Jeff Bridges,Olivia Wilde,2010,USA,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1
Cars 2,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,Thomas Kretschmann,2011,USA,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1
Green Lantern,Action|Adventure|Sci-Fi,Ryan Reynolds,Temuera Morrison,2011,USA,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1
Toy Story 3,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,John Ratzenberger,2010,USA,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1
Terminator Salvation,Action|Adventure|Sci-Fi,Christian Bale,Bryce Dallas Howard,2009,USA,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1
Furious 7,Action|Crime|Thriller,Jason Statham,Paul Walker,2015,USA,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1
World War Z,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,Brad Pitt,2013,USA,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1
X-Men: Days of Future Past,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,Peter Dinklage,2014,USA,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1
Star Trek Into Darkness,Action|Adventure|Sci-Fi,Benedict Cumberbatch,Bruce Greenwood,2013,USA,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1
Jack the Giant Slayer,Adventure|Fantasy,Eddie Marsan,Ewen Bremner,2013,USA,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1
The Great Gatsby,Drama|Romance,Leonardo DiCaprio,Elizabeth Debicki,2013,Australia,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1
Prince of Persia: The Sands of Time,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,Richard Coyle,2010,USA,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1
Pacific Rim,Action|Adventure|Sci-Fi,Charlie Hunnam,Clifton Collins Jr.,2013,USA,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1
Transformers: Dark of the Moon,Action|Adventure|Sci-Fi,Glenn Morshower,Lester Speight,2011,USA,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1
Indiana Jones and the Kingdom of the Crystal Skull,Action|Adventure|Fantasy,Harrison Ford,Ray Winstone,2008,USA,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1
The Good Dinosaur,Adventure|Animation|Comedy|Family|Fantasy,A.J. Buckley,Jack McGraw,2015,USA,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1
Brave,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,John Ratzenberger,2012,USA,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1
Star Trek Beyond,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,Melissa Roxburgh,2016,USA,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1
WALLÂ·E,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,Fred Willard,2008,USA,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1
Rush Hour 3,Action|Comedy|Crime|Thriller,Tzi Ma,Dana Ivey,2007,USA,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1
2012,Action|Adventure|Sci-Fi,Oliver Platt,Liam James,2009,USA,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1
A Christmas Carol,Animation|Drama|Family|Fantasy,Robin Wright,Colin Firth,2009,USA,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1
Jupiter Ascending,Action|Adventure|Sci-Fi,Channing Tatum,Mila Kunis,2015,USA,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1
The Legend of Tarzan,Action|Adventure|Drama|Romance,Christoph Waltz,Alexander SkarsgA¥rd,2016,USA,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure|Family|Fantasy,Jim Broadbent,Kiran Shah,2005,USA,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1
X-Men: Apocalypse,Action|Adventure|Sci-Fi,Jennifer Lawrence,Michael Fassbender,2016,USA,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1
The Dark Knight,Action|Crime|Drama|Thriller,Christian Bale,Heath Ledger,2008,USA,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1
Up,Adventure|Animation|Comedy|Family,John Ratzenberger,Delroy Lindo,2009,USA,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1
Monsters vs. Aliens,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,Rainn Wilson,2009,USA,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1
Iron Man,Action|Adventure|Sci-Fi,Robert Downey Jr.,Jeff Bridges,2008,USA,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1
Hugo,Adventure|Drama|Family|Mystery,ChloA« Grace Moretz,Christopher Lee,2011,USA,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1
Wild Wild West,Action|Comedy|Sci-Fi|Western,Will Smith,Salma Hayek,1999,USA,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1
The Mummy: Tomb of the Dragon Emperor,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,Brendan Fraser,2008,USA,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1
Suicide Squad,Action|Adventure|Comedy|Sci-Fi,Will Smith,Robin Atkin Downes,2016,USA,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1
Evan Almighty,Comedy|Family|Fantasy,Jimmy Bennett,Morgan Freeman,2007,USA,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1
Edge of Tomorrow,Action|Adventure|Sci-Fi,Tom Cruise,Lara Pulver,2014,USA,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1
Waterworld,Action|Adventure|Sci-Fi|Thriller,Jeanne Tripplehorn,Rick Aviles,1995,USA,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1
G.I. Joe: The Rise of Cobra,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,Dennis Quaid,2009,USA,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1
Inside Out,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,Mindy Kaling,2015,USA,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1
The Jungle Book,Adventure|Drama|Family|Fantasy,Scarlett Johansson,Bill Murray,2016,UK,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1
Iron Man 2,Action|Adventure|Sci-Fi,Robert Downey Jr.,Scarlett Johansson,2010,USA,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1
Snow White and the Huntsman,Action|Adventure|Drama|Fantasy,Chris Hemsworth,Kristen Stewart,2012,USA,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1
Maleficent,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,Sharlto Copley,2014,USA,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1
Dawn of the Planet of the Apes,Action|Adventure|Drama|Sci-Fi,Gary Oldman,Judy Greer,2014,USA,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1
The Lovers,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,Alice Englert,2015,Belgium,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1
47 Ronin,Action|Adventure|Drama|Fantasy,Keanu Reeves,Cary-Hiroyuki Tagawa,2013,USA,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1
Captain America: The Winter Soldier,Action|Adventure|Sci-Fi,Scarlett Johansson,Chris Evans,2014,USA,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1
Shrek Forever After,Adventure|Animation|Comedy|Family|Fantasy,Jon Hamm,Kathy Griffin,2010,USA,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1
Tomorrowland,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,Chris Bauer,2015,USA,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1
Big Hero 6,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Damon Wayans Jr.,Daniel Henney,2014,USA,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1
Wreck-It Ralph,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,Sarah Silverman,2012,USA,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1
The Polar Express,Adventure|Animation|Family|Fantasy,Tom Hanks,Eddie Deezen,2004,USA,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1
Independence Day: Resurgence,Action|Adventure|Sci-Fi,Vivica A. Fox,Sela Ward,2016,USA,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1
How to Train Your Dragon,Adventure|Animation|Family|Fantasy,Gerard Butler,America Ferrera,2010,USA,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1
Terminator 3: Rise of the Machines,Action|Sci-Fi,Nick Stahl,M.C. Gainey,2003,USA,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1
Guardians of the Galaxy,Action|Adventure|Sci-Fi,Bradley Cooper,Vin Diesel,2014,USA,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1
Interstellar,Adventure|Drama|Sci-Fi,Matthew McConaughey,Anne Hathaway,2014,USA,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1
Inception,Action|Adventure|Sci-Fi|Thriller,Leonardo DiCaprio,Tom Hardy,2010,USA,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1
Godzilla Resurgence,Action|Adventure|Drama|Horror|Sci-Fi,Mark Chinnery,Shinya Tsukamoto,2016,Japan,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1
The Hobbit: An Unexpected Journey,Adventure|Fantasy,Aidan Turner,Adam Brown,2012,USA,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1
The Fast and the Furious,Action|Crime|Thriller,Paul Walker,Vin Diesel,2001,USA,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1
The Curious Case of Benjamin Button,Drama|Fantasy|Romance,Brad Pitt,Jason Flemyng,2008,USA,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1
X-Men: First Class,Action|Adventure|Sci-Fi,Jennifer Lawrence,Michael Fassbender,2011,USA,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1
The Hunger Games: Mockingjay - Part 2,Adventure|Sci-Fi,Jennifer Lawrence,Philip Seymour Hoffman,2015,USA,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1
The Sorcerers Apprentice,Action|Adventure|Family|Fantasy,Nicolas Cage,Omar Benson Miller,2010,USA,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1
Poseidon,Action|Adventure|Drama|Thriller,Jimmy Bennett,Mike Vogel,2006,USA,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1
Alice Through the Looking Glass,Adventure|Family|Fantasy,Johnny Depp,Alan Rickman,2016,USA,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1
Shrek the Third,Adventure|Animation|Comedy|Family|Fantasy,Justin Timberlake,Eric Idle,2007,USA,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1
Warcraft,Action|Adventure|Fantasy,Dominic Cooper,Callum Rennie,2016,USA,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1
Terminator Genisys,Action|Adventure|Sci-Fi,J.K. Simmons,Emilia Clarke,2015,USA,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure|Family|Fantasy,Bruce Spence,Shane Rangi,2010,USA,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1
Pearl Harbor,Action|Drama|History|Romance|War,Jennifer Garner,Jaime King,2001,USA,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1
Transformers,Action|Adventure|Sci-Fi,Zack Ward,Michael ONeill,2007,USA,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1
Alexander,Action|Adventure|Biography|Drama|History|Romance|War,Anthony Hopkins,Angelina Jolie Pitt,2004,Germany,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1
Harry Potter and the Order of the Phoenix,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Daniel Radcliffe,2007,UK,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1
Harry Potter and the Goblet of Fire,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Daniel Radcliffe,2005,UK,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1
Hancock,Action|Drama,Will Smith,Charlize Theron,2008,USA,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1
I Am Legend,Drama|Horror|Sci-Fi,Will Smith,Alice Braga,2007,USA,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1
Charlie and the Chocolate Factory,Adventure|Comedy|Family|Fantasy,Johnny Depp,Christopher Lee,2005,USA,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1
Ratatouille,Animation|Comedy|Family|Fantasy,Janeane Garofalo,John Ratzenberger,2007,USA,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1
Batman Begins,Action|Adventure,Christian Bale,Liam Neeson,2005,USA,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1
Madagascar: Escape 2 Africa,Action|Adventure|Animation|Comedy|Family,Bernie Mac,Jada Pinkett Smith,2008,USA,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1
Night at the Museum: Battle of the Smithsonian,Adventure|Comedy|Family|Fantasy,Robin Williams,Rami Malek,2009,USA,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1
X-Men Origins: Wolverine,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,Ryan Reynolds,2009,USA,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1
The Matrix Revolutions,Action|Sci-Fi,Essie Davis,Collin Chou,2003,Australia,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1
Frozen,Adventure|Animation|Comedy|Family|Fantasy|Musical,Josh Gad,Maurice LaMarche,2013,USA,http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1
The Matrix Reloaded,Action|Sci-Fi,Steve Bastoni,Daniel Bernhardt,2003,USA,http://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1
Thor: The Dark World,Action|Adventure|Fantasy,Chris Hemsworth,Natalie Portman,2013,USA,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1
Mad Max: Fury Road,Action|Adventure|Sci-Fi|Thriller,Tom Hardy,Charlize Theron,2015,Australia,http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1
Angels & Demons,Mystery|Thriller,Tom Hanks,Ayelet Zurer,2009,USA,http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1
Thor,Action|Adventure|Fantasy,Chris Hemsworth,Natalie Portman,2011,USA,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1
Bolt,Adventure|Animation|Comedy|Drama|Family,ChloA« Grace Moretz,Diedrich Bader,2008,USA,http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1
G-Force,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Kelli Garner,Piper Mackenzie Harris,2009,USA,http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1
Wrath of the Titans,Action|Adventure|Fantasy,Liam Neeson,Edgar RamA­rez,2012,USA,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1
Dark Shadows,Comedy|Fantasy|Horror,Johnny Depp,ChloA« Grace Moretz,2012,USA,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1
Mission: Impossible - Rogue Nation,Action|Adventure|Thriller,Tom Cruise,Jeremy Renner,2015,China,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1
The Wolfman,Drama|Fantasy|Horror|Thriller,Anthony Hopkins,Simon Merrells,2010,USA,http://www.imdb.com/title/tt0780653/?ref_=fn_tt_tt_1
The Legend of Tarzan,Action|Adventure|Drama|Romance,Christoph Waltz,Alexander SkarsgA¥rd,2016,USA,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1
Bee Movie,Adventure|Animation|Comedy|Family,Matthew Broderick,Oprah Winfrey,2007,USA,http://www.imdb.com/title/tt0389790/?ref_=fn_tt_tt_1
Kung Fu Panda 2,Action|Adventure|Animation|Comedy|Family,Angelina Jolie Pitt,Gary Oldman,2011,USA,http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1
The Last Airbender,Action|Adventure|Family|Fantasy,Seychelle Gabriel,Noah Ringer,2010,USA,http://www.imdb.com/title/tt0938283/?ref_=fn_tt_tt_1
Mission: Impossible III,Action|Adventure|Thriller,Philip Seymour Hoffman,Tom Cruise,2006,USA,http://www.imdb.com/title/tt0317919/?ref_=fn_tt_tt_1
White House Down,Action|Drama|Thriller,Channing Tatum,Jake Weber,2013,USA,http://www.imdb.com/title/tt2334879/?ref_=fn_tt_tt_1
Mars Needs Moms,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Elisabeth Harnois,Dan Fogler,2011,USA,http://www.imdb.com/title/tt1305591/?ref_=fn_tt_tt_1
Flushed Away,Adventure|Animation|Comedy|Family,Hugh Jackman,Kate Winslet,2006,UK,http://www.imdb.com/title/tt0424095/?ref_=fn_tt_tt_1
Pan,Adventure|Family|Fantasy,Hugh Jackman,Cara Delevingne,2015,USA,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1
Mr. Peabody & Sherman,Adventure|Animation|Comedy|Family|Sci-Fi,Ty Burrell,Zach Callison,2014,USA,http://www.imdb.com/title/tt0864835/?ref_=fn_tt_tt_1
Troy,Adventure,Brad Pitt,Orlando Bloom,2004,USA,http://www.imdb.com/title/tt0332452/?ref_=fn_tt_tt_1
Madagascar 3: Europes Most Wanted,Adventure|Animation|Comedy|Family,Jada Pinkett Smith,Martin Short,2012,USA,http://www.imdb.com/title/tt1277953/?ref_=fn_tt_tt_1
Die Another Day,Action|Adventure|Thriller,Toby Stephens,Colin Salmon,2002,UK,http://www.imdb.com/title/tt0246460/?ref_=fn_tt_tt_1
Ghostbusters,Action|Comedy|Fantasy|Sci-Fi,Ed Begley Jr.,Kate McKinnon,2016,USA,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1
Armageddon,Action|Adventure|Sci-Fi|Thriller,Bruce Willis,Steve Buscemi,1998,USA,http://www.imdb.com/title/tt0120591/?ref_=fn_tt_tt_1
Men in Black II,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Will Smith,Rosario Dawson,2002,USA,http://www.imdb.com/title/tt0120912/?ref_=fn_tt_tt_1
Beowulf,Action|Adventure|Animation|Fantasy,Robin Wright,Anthony Hopkins,2007,USA,http://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1
Kung Fu Panda 3,Action|Adventure|Animation|Comedy|Family,J.K. Simmons,Angelina Jolie Pitt,2016,USA,http://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1
Mission: Impossible - Ghost Protocol,Action|Adventure|Thriller,Tom Cruise,Jeremy Renner,2011,USA,http://www.imdb.com/title/tt1229238/?ref_=fn_tt_tt_1
Rise of the Guardians,Adventure|Animation|Family|Fantasy,Hugh Jackman,Kamil McFadden,2012,USA,http://www.imdb.com/title/tt1446192/?ref_=fn_tt_tt_1
Fun with Dick and Jane,Comedy|Crime,John Michael Higgins,Richard Burgi,2005,USA,http://www.imdb.com/title/tt0369441/?ref_=fn_tt_tt_1
The Last Samurai,Action|Drama|History|War,Tom Cruise,Tony Goldwyn,2003,USA,http://www.imdb.com/title/tt0325710/?ref_=fn_tt_tt_1
Exodus: Gods and Kings,Action|Adventure|Drama,Christian Bale,MarA­a Valverde,2014,UK,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1
Star Trek,Action|Adventure|Sci-Fi,Chris Hemsworth,Leonard Nimoy,2009,USA,http://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1
Spider-Man,Action|Adventure|Fantasy|Romance,J.K. Simmons,James Franco,2002,USA,http://www.imdb.com/title/tt0145487/?ref_=fn_tt_tt_1
